City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3
Ahmedabad,2023-06-06,156,107.76,297.76,31.81,54.67,0.52,139.43
Mumbai,2023-08-09,90,119.49,45.89,79.62,35.16,2.07,138.24
Chennai,2023-04-03,141,82.94,297.41,36.03,61.47,0.34,72.78
Kolkata,2023-11-29,72,100.4,27.71,75.53,47.75,2.04,89.58
Pune,2023-06-19,104,158.79,57.14,35.53,4.05,1.09,78.88
Delhi,2023-06-20,132,109.23,238.69,35.82,13.95,2.06,40.88
Pune,2023-11-09,113,42.27,258.44,93.88,49.68,2.16,52.95
Ahmedabad,2023-11-21,101,127.06,63.93,103.11,50.93,2.06,117.25
Kolkata,2023-01-17,42,24.17,69.42,15.68,20.99,1.26,136.49
Mumbai,2023-08-27,94,146.53,26.75,44.26,55.22,0.5,121.16
Mumbai,2023-11-08,110,77.28,217.64,22.04,55.88,0.25,26.86
Mumbai,2023-09-07,137,122.24,203.92,94.91,49.26,0.36,67.29
Mumbai,2023-05-10,133,142.0,180.76,18.87,14.91,2.09,121.48
Hyderabad,2023-03-21,67,93.38,27.29,42.63,34.81,1.32,139.75
Ahmedabad,2023-09-04,114,108.58,123.02,118.86,69.23,1.21,149.96
Delhi,2023-12-26,85,41.75,175.64,31.01,51.63,2.36,119.0
Pune,2023-11-18,55,44.23,74.88,52.0,15.2,1.03,98.63
Delhi,2023-08-05,81,67.37,98.88,94.67,31.72,2.08,149.04
Bangalore,2023-02-04,124,96.42,229.07,21.79,71.81,0.55,32.85
Bangalore,2023-08-26,106,68.84,174.67,118.62,63.88,1.08,88.5
Ahmedabad,2023-08-01,161,166.32,226.21,70.47,54.2,1.92,24.31
Hyderabad,2023-10-15,160,140.83,258.12,52.07,78.43,0.7,65.42
Hyderabad,2023-06-20,136,186.76,99.91,59.14,16.6,1.4,129.32
Chennai,2023-08-24,118,183.15,40.43,91.99,21.92,0.6,92.16
Bangalore,2023-03-27,167,125.6,289.33,81.02,73.94,1.5,127.29
Delhi,2023-06-06,47,33.47,53.65,61.22,27.76,1.85,135.88
Chennai,2023-10-15,126,50.51,280.65,65.7,58.16,2.25,148.53
Chennai,2023-02-15,146,163.53,178.72,60.94,43.94,1.31,66.05
Ahmedabad,2023-08-16,105,57.44,192.59,86.99,71.58,0.96,129.79
Hyderabad,2023-01-23,148,133.25,236.0,51.66,76.27,1.74,49.97
Hyderabad,2023-01-10,104,127.37,85.56,91.7,19.53,1.56,106.07
Hyderabad,2023-08-06,163,149.44,243.67,109.99,48.63,2.15,38.62
Mumbai,2023-01-04,117,52.12,281.7,42.95,15.4,0.54,32.15
Chennai,2023-10-09,137,190.0,109.59,26.08,30.52,1.74,106.12
Hyderabad,2023-01-31,130,177.53,100.73,57.34,60.29,2.31,53.89
Mumbai,2023-11-14,185,170.67,294.39,37.33,64.47,0.25,103.56
Bangalore,2023-08-07,86,100.7,65.39,75.92,72.01,2.34,113.18
Chennai,2023-03-12,180,175.36,268.87,47.23,16.27,2.21,133.34
Delhi,2023-03-16,138,145.62,209.06,6.18,24.26,0.63,29.21
Hyderabad,2023-01-28,81,55.51,152.93,33.4,47.26,1.86,53.01
Pune,2023-06-20,126,152.84,153.62,23.37,22.03,1.36,7.85
Ahmedabad,2023-02-16,133,138.83,164.97,73.78,27.48,0.62,122.41
Mumbai,2023-02-23,101,107.04,105.41,63.79,70.56,1.79,129.5
Delhi,2023-09-23,149,145.28,202.85,70.74,43.2,1.47,128.2
Bangalore,2023-05-04,111,31.05,270.64,101.65,54.95,0.36,35.24
Delhi,2023-05-05,48,33.18,63.66,67.56,23.39,0.71,88.49
Pune,2023-09-07,81,36.71,169.76,49.51,59.29,0.44,94.99
Mumbai,2023-12-31,78,87.15,85.04,8.5,68.12,0.95,103.76
Ahmedabad,2023-03-17,110,117.35,131.2,35.85,74.86,1.77,101.47
Kolkata,2023-02-05,157,170.56,219.83,37.57,48.77,1.19,5.96
Ahmedabad,2023-03-02,78,33.34,162.79,43.67,28.68,1.3,149.57
Hyderabad,2023-04-10,84,44.64,191.81,32.17,10.23,0.32,8.32
Chennai,2023-08-10,81,91.08,71.95,95.16,12.08,2.31,90.2
Ahmedabad,2023-03-16,139,192.96,106.22,56.75,24.17,1.88,75.42
Mumbai,2023-04-29,91,29.8,223.11,32.26,12.75,1.35,121.4
Mumbai,2023-10-30,118,62.52,253.49,22.0,50.1,2.4,126.99
Mumbai,2023-05-02,73,70.78,59.86,114.16,78.9,0.74,102.11
Bangalore,2023-05-21,131,171.98,111.88,12.91,79.38,1.77,139.35
Hyderabad,2023-02-28,125,87.53,238.57,75.36,42.08,1.56,18.95
Mumbai,2023-06-15,124,198.49,44.76,64.71,25.06,1.44,88.2
Chennai,2023-02-13,133,171.92,129.13,64.38,2.85,2.02,42.63
Pune,2023-02-26,44,60.47,23.02,22.81,78.88,0.94,20.78
Delhi,2023-02-23,52,68.97,30.54,63.82,18.67,1.39,25.41
Bangalore,2023-03-17,84,123.6,37.36,50.86,25.6,0.75,92.66
Delhi,2023-01-04,92,129.83,64.49,37.86,18.35,1.44,71.85
Pune,2023-07-17,108,159.34,46.31,117.11,11.09,1.98,58.39
Mumbai,2023-04-26,59,24.09,124.92,43.58,79.47,2.47,32.52
Chennai,2023-09-11,130,169.66,92.17,115.15,34.49,0.52,90.8
Bangalore,2023-12-23,131,180.87,98.01,71.35,11.0,1.26,80.85
Bangalore,2023-12-17,105,47.76,231.93,45.2,39.0,0.87,105.98
Chennai,2023-06-14,161,160.08,247.93,27.8,33.33,1.64,50.8
Hyderabad,2023-10-30,86,31.64,201.75,56.35,18.93,1.01,76.35
Delhi,2023-04-23,167,191.95,206.36,16.79,66.18,0.94,91.54
Kolkata,2023-12-24,152,149.35,222.44,68.48,20.79,0.78,60.52
Chennai,2023-07-29,148,137.43,223.25,98.05,33.44,1.92,19.53
Pune,2023-01-27,86,15.11,214.59,95.16,3.41,1.57,90.31
Delhi,2023-08-27,133,152.46,139.89,82.83,42.34,0.77,92.94
Bangalore,2023-08-13,147,195.04,126.43,12.41,79.06,1.63,142.24
Ahmedabad,2023-08-19,69,74.99,57.5,101.08,70.67,1.35,32.06
Delhi,2023-06-21,119,121.75,161.79,84.9,25.81,1.13,8.1
Kolkata,2023-01-25,144,90.4,277.53,78.81,33.1,0.81,136.27
Hyderabad,2023-09-28,147,125.8,247.18,31.92,33.97,1.14,117.08
Chennai,2023-09-17,156,194.06,162.93,37.44,24.17,0.24,105.4
Bangalore,2023-03-09,119,123.79,162.2,59.93,6.83,1.25,46.7
Chennai,2023-06-12,72,52.25,113.11,45.61,26.08,2.45,140.25
Chennai,2023-02-20,198,196.4,297.54,45.93,36.72,2.41,93.25
Delhi,2023-10-28,99,140.98,77.61,44.03,19.75,0.76,5.68
Delhi,2023-01-31,51,66.24,44.18,15.0,45.37,2.48,26.03
Ahmedabad,2023-09-07,31,10.22,20.53,112.69,74.31,1.74,110.37
Delhi,2023-08-21,123,55.19,276.03,36.93,59.69,0.76,131.17
Chennai,2023-05-20,94,132.11,47.26,53.24,42.94,0.88,132.74
Pune,2023-06-13,98,76.1,151.04,79.12,60.63,0.95,90.02
Ahmedabad,2023-05-30,102,146.12,66.11,34.55,35.23,2.25,88.13
Ahmedabad,2023-04-12,73,29.62,148.85,53.19,48.82,2.07,127.01
Delhi,2023-12-25,163,131.89,285.73,49.12,66.96,2.32,76.27
Ahmedabad,2023-12-22,80,40.19,184.22,27.59,37.69,2.21,17.47
Hyderabad,2023-10-02,103,125.23,112.7,53.06,33.65,0.4,5.52
Kolkata,2023-07-12,86,51.38,139.3,116.77,66.49,0.45,78.74
Ahmedabad,2023-03-06,152,142.69,233.04,57.61,15.72,1.27,98.94
Kolkata,2023-09-23,35,34.81,28.92,36.45,72.27,0.5,52.95
Bangalore,2023-05-17,132,162.31,138.03,75.33,33.54,1.47,14.05
Hyderabad,2023-12-14,112,150.79,82.95,72.82,13.97,0.44,80.87
Ahmedabad,2023-10-08,104,31.54,276.98,30.96,11.36,0.67,29.59
Kolkata,2023-10-29,87,86.24,94.01,70.72,43.59,2.0,139.56
Kolkata,2023-11-15,77,49.2,132.78,55.32,5.11,2.18,149.36
Chennai,2023-03-15,73,32.02,171.89,27.87,8.62,1.41,52.39
Mumbai,2023-12-22,136,69.7,294.04,92.23,6.5,1.37,86.58
Mumbai,2023-04-18,64,29.67,130.7,62.83,16.56,1.77,65.71
Kolkata,2023-02-24,110,131.04,119.94,11.02,75.94,1.51,74.27
Pune,2023-05-05,137,187.98,81.69,98.17,66.82,0.33,108.23
Bangalore,2023-05-08,138,122.99,207.39,47.21,70.7,2.04,139.26
Kolkata,2023-08-16,88,14.09,247.21,30.64,38.44,2.08,36.34
Hyderabad,2023-01-30,87,93.43,96.11,58.05,2.75,0.69,125.72
Mumbai,2023-05-24,107,130.92,85.04,79.74,80.0,1.57,96.11
Hyderabad,2023-01-27,117,132.42,106.07,101.43,56.75,0.96,125.45
Hyderabad,2023-10-26,92,24.77,215.89,104.49,64.98,1.71,25.5
Bangalore,2023-05-14,57,27.73,118.5,20.61,46.13,1.18,72.05
Kolkata,2023-08-12,181,196.59,241.94,77.39,30.37,0.26,21.9
Delhi,2023-01-10,129,89.29,243.14,66.09,39.48,2.06,66.41
Ahmedabad,2023-09-01,90,29.13,198.17,85.8,72.13,0.72,92.61
Chennai,2023-11-26,64,82.73,49.88,20.44,67.29,1.92,60.44
Ahmedabad,2023-08-08,90,25.35,194.94,104.84,67.43,1.06,113.06
Ahmedabad,2023-09-08,149,169.63,168.61,92.96,8.13,1.56,84.79
Pune,2023-01-03,165,142.17,277.07,95.35,19.13,2.1,22.7
Delhi,2023-07-07,119,177.72,48.31,102.71,64.29,1.36,49.79
Chennai,2023-07-13,100,44.66,224.36,79.93,6.47,0.25,56.12
Mumbai,2023-04-03,114,72.78,206.97,81.53,64.91,0.43,88.68
Ahmedabad,2023-04-18,71,43.43,111.14,86.35,77.96,0.99,80.57
Delhi,2023-09-20,115,138.34,122.64,60.38,46.29,1.78,13.71
Kolkata,2023-01-24,70,91.92,57.45,28.92,70.94,2.21,9.83
Delhi,2023-10-27,159,115.3,283.15,109.42,47.21,0.52,71.67
Kolkata,2023-02-12,148,190.83,121.87,95.24,55.3,0.38,85.91
Delhi,2023-05-01,143,139.87,190.82,116.9,74.96,0.22,16.6
Delhi,2023-08-07,121,162.18,94.71,102.67,36.51,0.8,6.54
Mumbai,2023-12-05,153,111.72,293.11,87.19,8.27,1.55,7.48
Chennai,2023-08-02,109,76.54,200.12,67.28,22.39,0.57,63.68
Delhi,2023-03-20,123,92.78,229.66,11.55,31.55,1.53,113.92
Mumbai,2023-07-02,79,87.12,79.44,77.32,21.05,1.34,74.97
Hyderabad,2023-09-19,188,183.29,272.1,52.81,70.23,0.35,133.43
Pune,2023-01-19,104,117.37,95.51,118.25,7.6,1.23,95.04
Pune,2023-05-16,155,150.36,222.84,96.21,20.27,1.05,60.39
Ahmedabad,2023-05-29,83,87.77,82.12,77.72,35.33,0.78,108.69
Bangalore,2023-09-05,118,130.34,140.55,41.7,75.79,0.95,55.39
Hyderabad,2023-03-19,121,195.94,32.68,58.79,35.16,1.03,118.39
Chennai,2023-12-13,148,181.99,130.74,69.88,71.6,2.49,145.55
Hyderabad,2023-08-02,42,37.21,26.49,99.9,67.59,1.92,45.59
Delhi,2023-06-15,91,70.09,146.18,48.98,73.26,0.74,88.75
Bangalore,2023-01-07,138,135.98,178.08,111.26,9.93,0.71,116.12
Pune,2023-04-23,109,34.1,263.6,101.91,58.74,1.18,5.23
Delhi,2023-06-18,132,177.01,113.88,87.57,6.84,1.83,14.9
Bangalore,2023-06-04,81,84.44,85.82,81.06,46.72,0.97,54.83
Ahmedabad,2023-06-30,102,21.45,270.12,32.56,8.08,1.71,146.66
Hyderabad,2023-04-19,131,57.9,295.2,78.71,67.86,1.16,56.32
Mumbai,2023-04-15,128,127.18,187.57,19.9,58.35,1.58,78.51
Pune,2023-07-23,111,94.37,166.68,50.81,57.95,2.22,126.92
Pune,2023-05-01,99,12.62,275.33,36.61,71.26,0.65,68.75
Kolkata,2023-02-28,96,71.05,173.35,30.1,3.96,1.59,108.55
Hyderabad,2023-11-23,182,156.66,279.47,118.38,60.1,2.2,102.69
Chennai,2023-04-21,54,44.52,50.87,113.44,54.47,2.02,53.02
Hyderabad,2023-06-01,104,17.56,268.92,103.1,63.22,0.33,30.27
Delhi,2023-11-02,114,59.98,254.77,27.41,43.51,1.51,66.63
Mumbai,2023-06-22,108,187.35,35.2,22.55,34.73,1.61,6.19
Kolkata,2023-07-29,113,116.16,155.72,53.7,42.52,0.57,20.76
Bangalore,2023-08-18,138,144.81,184.72,60.21,46.58,1.49,49.52
Pune,2023-10-24,161,180.39,187.98,85.24,38.19,1.94,89.75
Hyderabad,2023-03-22,129,179.12,105.55,20.86,8.87,1.86,107.08
Hyderabad,2023-05-06,139,183.99,117.7,69.53,50.32,2.45,50.29
Delhi,2023-07-16,101,38.26,233.92,77.78,65.72,0.27,16.33
Chennai,2023-08-30,132,122.66,188.82,109.2,38.47,0.36,35.38
Delhi,2023-01-22,168,157.58,248.37,119.76,34.15,0.24,39.04
Delhi,2023-09-02,117,192.77,49.0,18.98,56.74,1.73,41.32
Ahmedabad,2023-08-30,134,195.22,53.73,113.64,51.47,0.32,145.9
Mumbai,2023-06-13,164,148.83,269.07,25.22,28.78,1.49,103.57
Delhi,2023-10-14,97,130.65,73.37,71.47,43.62,0.68,25.48
Hyderabad,2023-09-17,80,71.29,88.33,89.86,59.41,0.84,131.52
Ahmedabad,2023-08-17,150,150.54,185.56,115.54,27.96,1.45,122.93
Ahmedabad,2023-01-23,132,98.41,211.79,103.99,34.42,1.42,146.39
Kolkata,2023-05-02,116,95.16,198.07,5.97,48.55,0.33,129.35
Hyderabad,2023-10-27,31,16.13,33.67,91.67,30.82,1.52,44.2
Kolkata,2023-06-08,73,66.25,89.08,56.56,60.24,1.47,93.33
Chennai,2023-11-05,64,71.7,60.18,45.78,53.89,1.89,73.03
Mumbai,2023-10-19,119,50.0,260.82,104.58,26.99,1.46,92.97
Delhi,2023-08-06,171,183.12,227.12,82.34,42.57,0.4,20.63
Chennai,2023-06-05,125,50.19,286.71,52.13,70.38,2.08,122.82
Mumbai,2023-03-09,97,94.99,109.03,116.6,70.39,0.77,50.46
Bangalore,2023-12-29,143,102.72,239.3,100.1,69.39,1.51,130.71
Kolkata,2023-11-15,142,125.34,232.44,53.93,7.74,1.01,95.47
Hyderabad,2023-03-11,54,38.19,102.06,8.69,59.99,0.8,23.01
Chennai,2023-12-01,114,145.11,109.38,61.37,7.94,2.1,43.56
Kolkata,2023-10-07,59,50.68,43.86,108.09,78.43,2.4,128.54
Bangalore,2023-08-07,81,49.59,128.62,78.7,70.23,1.72,126.66
Ahmedabad,2023-08-15,136,196.2,62.98,111.6,42.74,1.68,132.29
Mumbai,2023-08-19,71,110.16,25.35,62.12,24.7,2.33,17.72
Chennai,2023-03-01,54,44.27,60.78,59.26,30.91,1.49,142.33
Mumbai,2023-06-27,123,140.54,136.46,38.05,44.14,2.24,132.13
Chennai,2023-02-09,60,56.78,83.1,8.91,67.73,0.81,57.05
Hyderabad,2023-12-21,79,111.52,57.7,11.14,11.35,1.28,101.93
Pune,2023-12-25,87,37.44,197.38,51.56,38.25,2.04,53.21
Mumbai,2023-11-13,124,175.96,79.4,38.81,57.11,1.77,121.06
Chennai,2023-01-09,63,76.93,55.25,67.22,24.82,1.78,5.05
Delhi,2023-04-23,192,192.05,269.44,119.31,34.51,0.31,49.36
Ahmedabad,2023-12-22,53,35.68,103.99,11.46,39.05,0.68,18.23
Pune,2023-07-30,99,76.73,170.5,91.14,10.78,2.02,8.81
Bangalore,2023-09-20,158,121.61,287.96,71.0,14.38,1.39,62.39
Pune,2023-09-26,77,47.45,160.23,22.25,60.04,1.57,16.39
Hyderabad,2023-12-08,54,70.06,32.78,77.71,31.13,2.29,10.06
Pune,2023-11-03,191,190.37,290.16,8.19,57.85,0.71,106.7
Pune,2023-02-10,47,29.16,86.85,7.77,5.42,0.27,121.1
Hyderabad,2023-06-10,136,103.71,240.6,61.92,35.48,0.23,87.37
Kolkata,2023-06-29,143,123.65,218.9,65.37,55.41,0.98,140.82
Bangalore,2023-12-19,77,113.65,44.47,55.92,22.09,2.35,6.9
Pune,2023-02-21,88,22.26,194.09,98.6,79.41,0.27,100.71
Kolkata,2023-01-16,69,11.86,192.02,19.08,31.53,0.8,57.37
Delhi,2023-09-30,103,55.34,197.9,103.18,19.48,1.37,99.06
Kolkata,2023-07-24,102,79.47,199.82,8.25,30.85,1.43,7.99
Pune,2023-05-22,145,134.31,232.58,18.04,79.26,1.59,57.66
Chennai,2023-09-06,151,118.85,266.88,64.87,53.59,1.02,61.28
Delhi,2023-07-01,118,144.07,120.57,26.93,30.81,2.16,112.05
Bangalore,2023-11-20,105,182.29,40.95,10.72,11.94,0.47,17.74
Kolkata,2023-06-24,138,124.16,201.33,84.16,61.04,0.68,95.23
Chennai,2023-12-28,126,189.3,85.06,11.75,52.97,1.9,46.06
Mumbai,2023-08-25,102,21.31,288.81,17.64,7.27,0.3,66.95
Ahmedabad,2023-10-04,166,151.48,271.68,34.93,51.04,0.3,61.05
Bangalore,2023-10-24,124,193.58,43.06,108.8,67.96,2.25,5.84
Hyderabad,2023-03-05,125,114.3,180.49,58.96,59.93,2.5,108.03
Pune,2023-03-31,137,134.34,214.66,44.34,26.98,2.0,12.7
Hyderabad,2023-01-28,79,107.54,38.23,63.63,76.82,2.45,82.09
Delhi,2023-02-15,75,90.15,66.72,37.93,45.16,1.52,96.36
Bangalore,2023-07-17,110,145.13,93.04,50.43,67.51,1.66,29.13
Hyderabad,2023-10-12,126,182.51,85.69,67.23,43.96,2.21,12.32
Pune,2023-01-12,108,68.63,213.2,94.97,15.13,2.07,6.05
Pune,2023-11-02,116,108.19,194.67,32.57,2.77,1.25,15.35
Pune,2023-09-29,74,43.0,139.07,54.91,45.12,2.0,73.46
Chennai,2023-12-25,98,122.22,97.81,34.83,54.91,1.58,29.24
Mumbai,2023-11-03,116,139.2,121.52,83.62,10.79,1.28,29.5
Delhi,2023-12-19,66,74.28,62.21,77.85,54.58,0.54,8.57
Bangalore,2023-11-02,55,10.39,116.3,61.88,65.85,2.13,110.12
Pune,2023-04-28,105,146.84,89.03,29.68,44.68,1.76,12.69
Chennai,2023-09-10,131,190.26,89.11,62.69,14.92,0.97,43.69
Kolkata,2023-03-25,87,89.76,112.62,17.18,39.79,2.16,110.88
Kolkata,2023-03-31,113,79.56,218.36,58.54,13.72,1.16,24.25
Ahmedabad,2023-08-20,175,198.18,196.72,96.25,3.13,2.22,143.34
Chennai,2023-01-30,137,153.22,163.57,37.91,68.48,1.57,89.01
Hyderabad,2023-01-17,55,24.89,106.87,82.45,41.57,2.23,10.7
Hyderabad,2023-12-12,116,136.54,117.82,40.0,52.19,1.19,120.82
Bangalore,2023-05-01,113,69.3,216.76,61.87,27.22,1.15,134.83
Hyderabad,2023-10-25,79,64.61,118.51,29.68,44.48,0.54,123.53
Pune,2023-10-22,97,123.63,55.01,117.52,37.46,2.09,116.45
Chennai,2023-05-17,114,167.2,48.13,83.03,22.73,2.01,143.75
Pune,2023-03-23,61,31.84,123.47,46.9,11.54,0.43,60.81
Delhi,2023-12-11,130,118.1,194.1,59.17,53.66,2.4,90.36
Pune,2023-07-09,149,103.65,297.97,49.55,48.32,0.45,25.47
Hyderabad,2023-09-01,80,67.07,105.53,49.53,77.39,0.39,123.72
Chennai,2023-12-06,185,171.4,297.69,45.1,12.09,0.53,115.02
Ahmedabad,2023-09-11,64,59.48,77.23,45.9,7.8,2.17,129.72
Bangalore,2023-04-17,139,126.3,199.75,91.16,42.61,1.37,96.54
Kolkata,2023-08-16,81,75.87,112.5,36.02,44.81,1.03,83.35
Hyderabad,2023-09-26,109,168.98,40.48,70.8,46.9,1.08,66.05
Mumbai,2023-05-12,129,63.33,263.99,108.08,52.75,1.98,93.88
Pune,2023-09-18,63,63.7,63.16,38.06,49.94,0.63,136.78
Ahmedabad,2023-02-11,120,171.49,89.79,41.01,6.62,0.79,76.1
Delhi,2023-10-27,78,117.95,21.72,29.07,72.12,0.25,136.2
Mumbai,2023-12-28,111,81.94,199.26,17.88,56.8,2.09,124.15
Chennai,2023-01-22,101,60.11,165.99,116.29,73.8,1.03,118.08
Chennai,2023-11-03,114,59.58,252.48,35.81,28.78,0.66,78.53
Chennai,2023-07-20,81,110.33,54.56,33.95,45.9,1.54,88.65
Kolkata,2023-07-08,173,153.2,274.64,63.71,58.07,2.3,98.18
Kolkata,2023-08-20,118,147.07,92.94,72.01,67.69,0.88,135.09
Kolkata,2023-11-10,118,90.4,194.49,51.21,67.37,1.31,135.68
Kolkata,2023-09-28,133,181.03,107.42,36.48,40.56,2.3,107.73
Ahmedabad,2023-09-22,105,174.53,40.96,20.79,48.89,1.39,29.44
Mumbai,2023-06-18,82,117.16,33.7,105.48,64.95,2.01,7.32
Pune,2023-08-14,157,114.47,298.44,44.37,28.86,0.51,102.78
Delhi,2023-09-19,76,29.25,150.88,81.71,40.49,1.75,123.36
Kolkata,2023-01-14,159,127.06,259.01,108.57,32.33,0.6,123.59
Ahmedabad,2023-10-07,117,186.5,26.41,110.95,47.96,1.98,62.78
Pune,2023-12-31,64,53.23,94.02,10.91,75.36,1.25,102.85
Kolkata,2023-01-25,161,176.16,206.18,69.63,57.4,1.93,31.96
Pune,2023-12-07,60,24.22,124.73,62.27,50.02,2.4,52.96
Bangalore,2023-04-01,95,110.96,81.63,75.76,77.44,0.49,78.56
Delhi,2023-10-31,130,168.54,125.67,13.36,37.72,0.57,107.14
Ahmedabad,2023-05-19,126,61.32,286.13,38.55,45.29,2.04,79.51
Ahmedabad,2023-01-25,182,170.33,277.89,47.86,44.77,2.13,136.01
Mumbai,2023-08-29,159,177.04,224.61,7.78,26.57,0.5,27.44
Kolkata,2023-08-06,108,77.17,210.93,26.2,31.82,1.07,39.5
Pune,2023-07-12,106,138.98,98.38,32.84,3.4,1.0,81.38
Delhi,2023-08-20,123,143.09,135.29,41.38,75.25,0.8,62.75
Kolkata,2023-07-31,64,55.83,80.89,39.77,69.41,1.96,103.74
Pune,2023-02-13,85,106.47,94.8,13.55,27.82,1.34,13.31
Kolkata,2023-07-07,74,59.97,122.78,50.23,11.2,0.72,42.94
Mumbai,2023-09-29,59,71.96,40.22,85.9,32.11,0.95,23.35
Kolkata,2023-02-15,128,54.21,295.86,101.07,3.19,1.62,42.11
Kolkata,2023-03-22,104,144.06,56.85,56.03,51.31,1.48,146.76
Mumbai,2023-04-07,121,157.1,119.57,5.97,59.28,2.5,63.85
Delhi,2023-03-26,56,36.92,103.02,24.63,39.06,2.03,54.4
Ahmedabad,2023-07-09,113,113.52,150.32,95.51,9.91,1.98,40.23
Bangalore,2023-05-06,155,123.9,272.54,71.52,52.62,1.99,42.6
Mumbai,2023-04-05,62,43.37,118.03,33.31,19.84,0.85,31.23
Bangalore,2023-01-09,132,120.2,201.56,44.53,62.04,0.5,87.81
Ahmedabad,2023-12-09,57,36.97,119.98,12.8,20.66,1.71,6.8
Mumbai,2023-08-02,106,156.75,67.64,25.81,4.25,1.38,99.92
Kolkata,2023-12-08,100,84.0,147.24,94.88,4.61,2.0,101.62
Kolkata,2023-03-16,55,19.37,126.28,25.01,3.74,1.02,110.29
Pune,2023-01-24,57,22.22,110.03,45.41,65.15,1.89,104.96
Kolkata,2023-05-01,124,183.03,80.36,77.34,6.82,0.39,6.39
Ahmedabad,2023-07-19,84,129.58,34.13,38.41,68.41,0.43,36.4
Bangalore,2023-05-28,127,170.03,91.36,119.67,29.71,1.09,22.71
Chennai,2023-09-11,97,56.26,196.08,30.66,32.25,2.17,112.14
Ahmedabad,2023-11-05,158,107.28,298.91,90.31,49.93,2.1,69.09
Mumbai,2023-07-16,99,114.88,111.52,14.89,31.3,1.51,106.97
Bangalore,2023-07-30,128,131.25,148.6,115.92,19.08,1.55,106.53
Chennai,2023-12-03,120,87.32,212.34,39.87,35.97,2.26,142.74
Ahmedabad,2023-10-01,119,81.13,249.62,7.97,10.01,1.72,47.23
Mumbai,2023-06-18,101,92.85,140.22,82.98,61.87,1.29,36.03
Chennai,2023-08-01,69,70.87,69.03,77.64,9.06,2.43,96.7
Kolkata,2023-03-23,130,74.39,291.94,21.74,5.17,0.28,72.41
Delhi,2023-11-25,99,107.31,111.7,43.6,51.58,0.58,116.15
Hyderabad,2023-12-18,143,183.84,122.16,118.01,46.91,2.44,8.92
Ahmedabad,2023-08-03,81,20.1,182.11,97.22,45.76,0.35,105.55
Ahmedabad,2023-11-22,102,165.32,32.05,20.8,23.46,1.66,146.57
Mumbai,2023-07-26,71,37.11,123.28,101.17,38.44,0.94,86.37
Hyderabad,2023-11-09,93,86.22,113.13,97.48,74.09,1.95,68.67
Pune,2023-05-04,86,16.04,202.52,62.0,75.16,2.27,148.27
Bangalore,2023-03-25,190,185.63,277.16,87.76,5.75,2.21,100.38
Ahmedabad,2023-07-03,43,45.58,52.54,10.78,60.82,0.74,8.52
Ahmedabad,2023-05-12,73,101.7,67.38,10.07,16.75,1.76,16.93
Delhi,2023-01-19,49,37.82,74.79,50.2,9.86,0.6,55.6
Hyderabad,2023-02-25,109,24.21,260.93,98.87,61.75,0.91,124.32
Hyderabad,2023-04-10,41,33.64,32.59,113.02,26.02,2.31,44.53
Delhi,2023-12-20,186,181.75,278.63,62.06,69.54,2.39,52.07
Delhi,2023-06-18,115,146.66,104.1,91.69,7.76,1.4,22.74
Kolkata,2023-12-06,115,59.14,254.9,27.25,65.06,2.03,77.34
Kolkata,2023-06-29,75,53.11,150.18,6.01,43.45,2.39,27.43
Ahmedabad,2023-06-24,194,192.74,260.95,102.79,66.1,0.91,134.14
Ahmedabad,2023-07-10,99,104.2,119.28,52.64,28.07,0.69,94.68
Chennai,2023-08-27,78,97.89,46.84,96.64,15.64,0.46,95.35
Pune,2023-03-30,123,77.56,236.1,75.75,30.3,0.64,96.61
Chennai,2023-11-05,155,132.79,247.61,64.98,58.0,2.26,117.11
Kolkata,2023-08-10,144,91.92,273.18,76.48,69.86,0.29,100.39
Chennai,2023-10-19,88,42.03,196.33,56.18,15.35,1.15,38.74
Chennai,2023-08-18,110,66.08,250.16,6.63,33.47,1.62,8.28
Chennai,2023-12-27,72,23.28,155.86,42.23,68.3,1.83,131.04
Mumbai,2023-04-17,137,146.96,171.2,99.88,41.56,1.44,12.51
Ahmedabad,2023-02-22,50,61.9,25.51,12.64,76.67,1.0,130.87
Chennai,2023-06-06,191,189.22,266.88,107.91,24.54,0.55,97.69
Bangalore,2023-09-22,47,53.84,37.54,49.47,52.52,2.48,39.3
Hyderabad,2023-06-15,106,22.97,280.68,100.72,3.63,0.89,12.39
Delhi,2023-06-11,116,91.29,205.41,31.93,74.83,0.83,42.73
Ahmedabad,2023-06-08,146,181.77,134.3,117.74,29.11,2.12,42.18
Ahmedabad,2023-12-09,72,16.03,189.73,40.83,36.59,2.08,40.98
Pune,2023-02-06,145,170.61,157.97,100.18,31.21,1.12,29.24
Mumbai,2023-07-31,190,180.39,295.58,51.28,65.85,1.15,70.87
Kolkata,2023-07-17,56,43.7,81.69,41.19,63.48,1.06,56.93
Ahmedabad,2023-06-02,111,108.66,145.89,113.87,23.85,0.87,25.34
Pune,2023-09-14,77,58.83,105.86,58.72,74.31,1.83,140.84
Kolkata,2023-03-31,48,11.35,94.36,109.16,52.19,2.46,27.61
Hyderabad,2023-05-01,148,192.6,136.21,79.98,65.55,2.08,7.05
Delhi,2023-10-18,135,195.0,84.78,96.5,43.67,0.71,12.4
Kolkata,2023-07-30,85,70.13,125.16,60.8,41.56,0.67,102.24
